,x,Lineage
human1_lib1.final_cell_0001,acinar,Exocrine
human1_lib1.final_cell_0002,acinar,Exocrine
human1_lib1.final_cell_0003,acinar,Exocrine
human1_lib1.final_cell_0004,acinar,Exocrine
human1_lib1.final_cell_0005,acinar,Exocrine
human1_lib1.final_cell_0006,acinar,Exocrine
human1_lib1.final_cell_0007,beta,Endocrine
human1_lib1.final_cell_0008,acinar,Exocrine
human1_lib1.final_cell_0009,acinar,Exocrine
human1_lib1.final_cell_0010,acinar,Exocrine
human1_lib1.final_cell_0011,acinar,Exocrine
human1_lib1.final_cell_0012,acinar,Exocrine
human1_lib1.final_cell_0013,delta,Endocrine
human1_lib1.final_cell_0014,delta,Endocrine
human1_lib1.final_cell_0015,beta,Endocrine
human1_lib1.final_cell_0016,activated_stellate,PSC
human1_lib1.final_cell_0017,beta,Endocrine
human1_lib1.final_cell_0018,acinar,Exocrine
human1_lib1.final_cell_0019,ductal,Exocrine
human1_lib1.final_cell_0020,beta,Endocrine
human1_lib1.final_cell_0021,beta,Endocrine
human1_lib1.final_cell_0022,alpha,Endocrine
human1_lib1.final_cell_0023,ductal,Exocrine
human1_lib1.final_cell_0024,beta,Endocrine
human1_lib1.final_cell_0025,delta,Endocrine
human1_lib1.final_cell_0026,alpha,Endocrine
human1_lib1.final_cell_0027,beta,Endocrine
human1_lib1.final_cell_0028,acinar,Exocrine
human1_lib1.final_cell_0029,acinar,Exocrine
human1_lib1.final_cell_0030,beta,Endocrine
human1_lib1.final_cell_0031,delta,Endocrine
human1_lib1.final_cell_0032,delta,Endocrine
human1_lib1.final_cell_0033,delta,Endocrine
human1_lib1.final_cell_0034,delta,Endocrine
human1_lib1.final_cell_0035,beta,Endocrine
human1_lib1.final_cell_0036,acinar,Exocrine
human1_lib1.final_cell_0037,beta,Endocrine
human1_lib1.final_cell_0038,beta,Endocrine
human1_lib1.final_cell_0039,beta,Endocrine
human1_lib1.final_cell_0040,delta,Endocrine
human1_lib1.final_cell_0041,activated_stellate,PSC
human1_lib1.final_cell_0042,beta,Endocrine
human1_lib1.final_cell_0043,delta,Endocrine
human1_lib1.final_cell_0044,activated_stellate,PSC
human1_lib1.final_cell_0045,activated_stellate,PSC
human1_lib1.final_cell_0046,activated_stellate,PSC
human1_lib1.final_cell_0047,acinar,Exocrine
human1_lib1.final_cell_0048,activated_stellate,PSC
human1_lib1.final_cell_0049,delta,Endocrine
human1_lib1.final_cell_0050,beta,Endocrine
human1_lib1.final_cell_0051,delta,Endocrine
human1_lib1.final_cell_0052,beta,Endocrine
human1_lib1.final_cell_0053,acinar,Exocrine
human1_lib1.final_cell_0054,beta,Endocrine
